ID,Company,Category,Difficulty,Hops,Question,Expected Answer,Generated Answer,Correctness,Correctness Score,Groundedness,Groundedness Score,Completeness,Completeness Score,Overall Score,Judge Reason
q001,Infosys,basic_retrieval,easy,1,What was Infosys’ consolidated revenue in FY 2026?,"₹1,78,650 crore","Infosys' consolidated revenue in FY 2026 was ₹1,78,650 crore.",pass,1,pass,1,pass,1,1,The generated answer matches the expected FY 2026 consolidated revenue exactly and is fully supported by the retrieved context.
q002,Infosys,basic_retrieval,easy,1,What was Infosys’ net profit in FY 2026?,"₹29,440 crore","Infosys' net profit in FY 2026 was ₹29,440 crore.",pass,1,pass,1,pass,1,1,"The generated answer matches the expected net profit figure for FY 2026, and it is directly supported by the retrieved context stating net profit of ₹29,440 crore."
q003,Infosys,basic_retrieval,easy,1,What was Infosys’ adjusted operating margin in FY 2026?,21.00%,"Infosys' adjusted operating margin in FY 2026 was 21.0%. (Source: Infosys-ar-26, Passage 1)",pass,1,pass,1,pass,1,1,"The generated answer matches the expected FY 2026 adjusted operating margin of 21.0%, and this value is directly supported by the retrieved context."
q004,Infosys,basic_retrieval,easy,1,How much consolidated cash and investments did Infosys report for FY 2026?,"₹43,075 crore","The provided context does not contain specific information about the total consolidated cash and investments reported by Infosys for FY 2026. Therefore, I don't know the exact figure.",fail,0,pass,1,fail,0,0.333333333,"The generated answer incorrectly says the context lacks the information and refuses, but the retrieved context supports the exact figure: ₹43,075 crore. It is grounded in the context, but it fails correctness and omits the answer."
q005,Infosys,basic_retrieval,easy,1,What was the total contract value of Infosys’ large deals in FY 2026?,US$14.9 billion,The total contract value (TCV) of Infosys' large deals in FY 2026 was US$14.9 billion. This is mentioned in Passage 1 and Passage 2 from the Infosys annual report.,pass,1,pass,1,pass,1,1,"The answer matches the expected US$14.9 billion, and this value is directly supported by the retrieved context stating Infosys had large deal TCV of 14.9 in FY 2026."
q006,Infosys,multi_hop,medium,2,"Which Infosys business segment had the highest FY 2026 revenue, and by how much did its revenue exceed the second-highest segment?","Financial Services; ₹20,830 crore more than Manufacturing (₹49,908 crore vs ₹29,078 crore).","The Infosys business segment with the highest FY 2026 revenue was Financial Services with ₹49,908 crore. Its revenue exceeded the second-highest segment, Manufacturing, which had ₹29,078 crore, by ₹20,830 crore.",pass,1,pass,1,pass,1,1,"Matches the cited FY2026 segment revenues and correctly identifies Financial Services as highest, exceeding Manufacturing by ₹20,830 crore."
q007,Infosys,multi_hop,medium,2,"Which Infosys business segment had the highest year-over-year revenue growth in FY 2026, and what was the growth rate?","Manufacturing, at 15.4%.","The Infosys business segment with the highest year-over-year revenue growth in FY 2026 was Manufacturing, with a growth rate of 15.4%. 

This is based on the segmental revenues and growth percentages reported for FY 2026 in Passage 1 from the Infosys annual report.",pass,1,pass,1,pass,1,1,"The answer matches the expected result: Manufacturing had the highest FY 2026 segment revenue growth at 15.4%, and this is directly supported by the retrieved context."
q008,Infosys,multi_hop,medium,2,"How much higher was Infosys’ FY 2026 net profit than FY 2025, and what percentage increase does that represent?","₹2,727 crore higher, approximately 10.2%.","Infosys' net profit for FY 2026 was ₹27,440 crore, which is ₹2,727 crore higher than the net profit for FY 2025 of ₹26,713 crore. This represents a percentage increase of approximately 10.21%.",partial,0.5,partial,0.5,pass,1,0.666666667,"The net profit difference and percentage increase are correct and supported by the context, but FY 2026 net profit is misstated as ₹27,440 crore instead of ₹29,440 crore. The answer still gives the right increase and roughly the right percentage."
q009,Infosys,multi_hop,hard,2,"What share of Infosys’ top 200 clients were involved in AI journeys, and how many AI projects were underway?","90% of the top 200 clients; more than 4,600 AI projects.","According to the Infosys annual report, 90 percent of Infosys' top 200 clients were involved in their AI journeys, with more than 4,600 AI projects underway. This information is found in Passage 1 from the Infosys report.",pass,1,pass,1,pass,1,1,"The generated answer matches the expected figures exactly: 90% of top 200 clients and more than 4,600 AI projects. These claims are directly supported by the retrieved context."
q010,Infosys,numerical_financial,easy,1,What was Infosys’ return on equity in FY 2026?,31.60%,Infosys' return on equity (RoE) in FY 2026 was 31.6% according to the information provided from the Infosys annual report.,pass,1,pass,1,pass,1,1,"The generated answer states FY 2026 return on equity as 31.6%, which matches the expected answer and is directly supported by the retrieved context."
q011,Infosys,numerical_financial,medium,1,What was Infosys’ free cash flow in FY 2026 and what was its conversion as a percentage of net profit?,"₹33,097 crore and 112.3%.","Infosys' free cash flow in FY 2026 was ₹33,097 crore. The free cash flow conversion as a percentage of net profit for FY 2026 was 112.3%.",pass,1,pass,1,pass,1,1,"The generated answer matches the expected FY 2026 free cash flow and conversion exactly, and both claims are directly supported by the retrieved context."
q012,Infosys,numerical_financial,medium,1,How much did Infosys return to shareholders in FY 2026 according to its Financial Capital discussion?,"Over ₹37,500 crore","According to the Financial Capital discussion in the Infosys annual report, Infosys returned over ₹37,500 crore to shareholders for fiscal 2026.",pass,1,pass,1,pass,1,1,"The answer matches the expected amount and is directly supported by the retrieved context stating over ₹37,500 crore was returned to shareholders in fiscal 2026."
q013,Infosys,numerical_financial,medium,1,What was Infosys’ FY 2026 basic earnings per share?,₹71.58,"Infosys' basic earnings per share for FY 2026 was ₹71.58. (Source: Infosys-ar-26, Passage 1 and Passage 2)",pass,1,pass,1,pass,1,1,"The generated answer matches the expected FY 2026 basic EPS of ₹71.58, and this value is directly supported by the retrieved context."
q014,Infosys,temporal_trend,medium,2,How did Infosys’ revenue change from FY 2024 to FY 2026?,"It increased from ₹1,53,670 crore to ₹1,78,650 crore, an increase of ₹24,980 crore (about 16.3%).","Infosys' revenue increased from ₹1,53,670 crore in FY 2024 to ₹1,78,650 crore in FY 2026. This is an increase of ₹24,980 crore, which represents a growth of approximately 16.26% over this period.",pass,1,pass,1,pass,1,1,"The answer matches the cited revenue figures from FY 2024 and FY 2026, and the stated increase and percentage are consistent with the context."
